game_id,season,week,team,opponent_team,attempts,gameday,gametime,home_team,away_team,location,venue,night_ET,under_31_5,early_injury_exit
2025_01_MIA_IND,2025,1,IND,MIA,29,2025-09-07,13:00,IND,MIA,Home,Home,False,True,False
2025_02_DEN_IND,2025,2,IND,DEN,34,2025-09-14,16:05,IND,DEN,Home,Home,False,False,False
2025_03_IND_TEN,2025,3,IND,TEN,25,2025-09-21,13:00,TEN,IND,Home,Away,False,True,False
2025_04_IND_LA,2025,4,IND,LA,33,2025-09-28,16:05,LA,IND,Home,Away,False,False,False
2025_05_LV_IND,2025,5,IND,LV,29,2025-10-05,13:00,IND,LV,Home,Home,False,True,False
2025_06_ARI_IND,2025,6,IND,ARI,30,2025-10-12,13:00,IND,ARI,Home,Home,False,True,False
2025_07_IND_LAC,2025,7,IND,LAC,34,2025-10-19,16:05,LAC,IND,Home,Away,False,False,False
2025_08_TEN_IND,2025,8,IND,TEN,29,2025-10-26,16:25,IND,TEN,Home,Home,False,True,False
2025_09_IND_PIT,2025,9,IND,PIT,50,2025-11-02,13:00,PIT,IND,Home,Away,False,False,False
2025_10_ATL_IND,2025,10,IND,ATL,26,2025-11-09,09:30,IND,ATL,Neutral,Neutral,False,True,False
2025_12_IND_KC,2025,12,IND,KC,31,2025-11-23,13:00,KC,IND,Home,Away,False,True,False
2025_13_HOU_IND,2025,13,IND,HOU,27,2025-11-30,13:00,IND,HOU,Home,Home,False,True,False
2025_14_IND_JAX,2025,14,IND,JAX,7,2025-12-07,13:00,JAX,IND,Home,Away,False,True,True
