date,opponent,started,outs,ip,pitches,batters_faced,strikeouts,earned_runs
2026-05-29,Minnesota Twins,True,13,4.3,77,21,6,5
2026-06-04,Houston Astros,True,15,5.0,74,21,4,0
2026-06-10,Los Angeles Dodgers,True,12,4.0,75,16,4,2
2026-06-15,Athletics,True,12,4.0,75,20,4,5
2026-06-21,Colorado Rockies,True,9,3.0,45,12,3,1
2026-06-27,Cincinnati Reds,True,14,4.7,81,20,4,3
2026-07-02,Philadelphia Phillies,True,12,4.0,73,16,6,1
2026-07-08,Atlanta Braves,True,18,6.0,77,18,8,0
2026-07-18,Cleveland Guardians,True,15,5.0,74,19,9,1
2026-07-24,Chicago Cubs,True,18,6.0,83,21,5,1
2026-07-29,Arizona Diamondbacks,True,18,6.0,77,24,5,3
2026-08-04,Milwaukee Brewers,True,12,4.0,83,21,4,3
2026-08-09,New York Mets,True,9,3.0,69,20,3,8
2026-08-15,Boston Red Sox,True,15,5.0,85,20,7,1
2026-08-22,Los Angeles Dodgers,True,12,4.0,87,20,5,2
2026-08-28,St. Louis Cardinals,True,14,4.7,86,23,6,3
2026-09-04,Los Angeles Angels,True,18,6.0,91,21,9,0
2026-09-10,Chicago White Sox,True,21,7.0,90,24,8,0
2026-09-16,Milwaukee Brewers,True,15,5.0,91,23,9,3
