date,opponent,started,outs,ip,pitches,batters_faced,strikeouts,earned_runs
2026-03-31,New York Mets,True,15,5.0,88,21,3,0
2026-04-06,Washington Nationals,True,15,5.0,88,22,2,2
2026-04-12,Boston Red Sox,True,15,5.0,95,27,2,6
2026-04-18,Houston Astros,True,15,5.0,87,21,5,1
2026-04-24,Seattle Mariners,True,16,5.3,90,23,8,3
2026-04-29,Pittsburgh Pirates,True,18,6.0,91,24,6,1
2026-05-06,Milwaukee Brewers,True,18,6.0,104,27,3,5
2026-05-12,Athletics,True,15,5.0,85,21,4,3
2026-05-17,Kansas City Royals,True,20,6.7,99,27,7,1
2026-05-23,Cincinnati Reds,True,18,6.0,93,20,3,1
2026-05-29,Chicago Cubs,True,9,3.0,75,18,3,4
2026-06-03,Texas Rangers,True,17,5.7,85,23,5,1
2026-06-10,New York Mets,True,18,6.0,93,24,5,2
2026-06-16,San Diego Padres,True,21,7.0,92,24,6,2
2026-06-22,Arizona Diamondbacks,True,18,6.0,85,24,2,1
2026-06-27,Miami Marlins,True,20,6.7,98,28,4,5
2026-07-03,Chicago Cubs,True,17,5.7,102,24,2,0
2026-07-09,Milwaukee Brewers,True,15,5.0,97,25,2,6
2026-07-19,Arizona Diamondbacks,True,16,5.3,88,22,3,3
2026-07-25,Cincinnati Reds,True,21,7.0,90,24,8,0
2026-07-30,Chicago Cubs,True,19,6.3,90,27,3,2
2026-08-05,New York Yankees,True,16,5.3,103,21,4,1
2026-08-11,Philadelphia Phillies,True,18,6.0,97,22,2,0
2026-08-17,Cincinnati Reds,True,18,6.0,88,25,5,4
2026-09-04,Colorado Rockies,True,15,5.0,72,20,1,1
2026-09-09,San Francisco Giants,True,15,5.0,88,18,4,1
2026-09-15,San Francisco Giants,True,15,5.0,99,27,2,6
