season,week,team,full_name,name_std,position,source_status,practice_status,availability,retrieved_at
2026,3,GB,Aaron Banks,aaronbanks,G,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,LA,Aaron Donald,aarondonald,DT,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,NYJ,Adonai Mitchell,adonaimitchell,WR,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,LV,Aidan O'Connell,aidanoconnell,QB,Questionable,Did Not Participate In Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,ATL,A.J. Terrell,ajterrell,CB,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,JAX,Albert Regis,albertregis,DT,Doubtful,Limited Participation in Practice,0.15,2026-09-26T13:06:12+00:00
2026,3,IND,Alec Pierce,alecpierce,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,CIN,Andrei Iosivas,andreiiosivas,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,NYG,Andrew Thomas,andrewthomas,T,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,GB,Anthony Campbell,anthonycampbell,DT,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,BUF,Ar'maj Reed-Adams,armajreedadams,G,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,IND,Ashton Dulin,ashtondulin,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,NO,Barion Brown,barionbrown,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,DET,Ben Bartch,benbartch,G,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,ATL,Billy Bowman Jr.,billybowman,CB,Questionable,Full Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,CIN,B.J. Hill,bjhill,DT,Doubtful,Did Not Participate In Practice,0.15,2026-09-26T13:06:12+00:00
2026,3,SEA,Brandon Pili,brandonpili,DT,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,NE,Brenden Schooler,brendenschooler,S,Out,Limited Participation in Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,LAC,Brenen Thompson,brenenthompson,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,MIN,Brett Thorson,brettthorson,P,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,NYG,Brian Burns,brianburns,LB,Questionable,Did Not Participate In Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,LV,Brock Bowers,brockbowers,TE,Questionable,Did Not Participate In Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,LA,Byron Young,byronyoung,LB,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,CHI,Cairo Santos,cairosantos,K,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,MIA,Caleb Douglas,calebdouglas,WR,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,CHI,Caleb Williams,calebwilliams,QB,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,KC,Chamarri Conner,chamarriconner,S,Doubtful,Limited Participation in Practice,0.15,2026-09-26T13:06:12+00:00
2026,3,LAC,Charlie Kolar,charliekolar,TE,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,IND,Charvarius Ward,charvariusward,CB,Questionable,Full Participation in Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,WAS,Chig Okonkwo,chigokonkwo,TE,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,KC,Chris Jones,chrisjones,DT,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,NO,Christen Miller,christenmiller,DT,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,MIN,Christian Darrisaw,christiandarrisaw,T,,Did Not Participate In Practice,0.85,2026-09-26T13:06:12+00:00
2026,3,CAR,Claudin Cherelus,claudincherelus,LB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,DAL,Cobie Durant,cobiedurant,CB,Out,Did Not Participate In Practice,0.0,2026-09-26T13:06:12+00:00
2026,3,LA,Colby Parkinson,colbyparkinson,TE,Questionable,Did Not Participate In Practice,0.65,2026-09-26T13:06:12+00:00
2026,3,SEA,Cooper Kupp,cooperkupp,WR,,Limited Participation in Practice,0.95,2026-09-26T13:06:12+00:00
2026,3,TEN,Cordale Flott,cordaleflott,CB,Questionable,Limited Participation in Practice,0.65,2026-09-26T13:06:12+00:00
