game,home_team,away_team,baseline_total_model,injury_adjusted_total_model,model_injury_impact_points,market_consensus_total,market_total_move,reaction_residual,home_injury_rows,away_injury_rows,largest_downward_move_book,best_over,best_under,signal_status
ATL @ GB,GB,ATL,39.04797261598816,35.690472615988156,-3.3575,,-1.5,1.8575,8,3,bovada,,,possible_underreaction
LAC @ BUF,BUF,LAC,44.07084670906535,37.20334670906535,-6.8675,50.0,0.0,6.8675,7,8,betonlineag,draftkings 50.5 (-102),lowvig 50.0 (-107),possible_underreaction
CAR @ CLE,CLE,CAR,43.12150138078275,40.806501380782755,-2.315,42.5,0.0,2.315,3,5,betmgm,williamhill_us 42.5 (-106),lowvig 42.0 (-102),possible_underreaction
NYJ @ DET,DET,NYJ,41.554312688530615,38.12181268853062,-3.4325,48.0,0.0,3.4325,2,6,fanatics,fanduel 48.5 (-106),lowvig 48.0 (-102),possible_underreaction
HOU @ IND,IND,HOU,43.02241544620467,38.69241544620467,-4.33,42.5,-1.0,3.33,4,9,betmgm,bovada 42.5 (-105),draftkings 42.5 (-102),possible_underreaction
NE @ JAX,JAX,NE,46.02691956193431,44.6244195619343,-1.4024999999999999,46.0,0.5,1.9024999999999999,3,7,fanduel,draftkings 46.5 (-105),williamhill_us 45.5 (-104),possible_underreaction
KC @ MIA,MIA,KC,39.66753255820436,36.38503255820436,-3.2824999999999998,45.0,-0.5,2.7824999999999998,6,4,betmgm,lowvig 45.5 (-102),bovada 45.0 (-105),possible_underreaction
TEN @ NYG,NYG,TEN,43.49172409078376,41.91672409078376,-1.5750000000000002,38.0,-1.5,0.07500000000000018,5,4,draftkings,bovada 38.0 (-105),williamhill_us 37.5 (-103),no_clear_reaction_edge
CIN @ PIT,PIT,CIN,42.99282077216804,39.37282077216804,-3.62,42.5,0.0,3.62,6,3,betmgm,lowvig 43.0 (-102),fanduel 42.5 (-105),possible_underreaction
SEA @ WAS,WAS,SEA,47.26504837647782,40.64254837647782,-6.6225000000000005,40.0,0.0,6.6225000000000005,6,4,bovada,draftkings 40.5 (-102),lowvig 40.0 (-102),possible_underreaction
ARI @ SF,SF,ARI,42.70658883244253,40.58658883244253,-2.12,48.0,0.0,2.12,5,3,betmgm,lowvig 48.0 (-103),fanduel 47.5 (-104),possible_underreaction
MIN @ TB,TB,MIN,46.06189000616317,44.26439000616317,-1.7975,42.5,-0.5,1.2975,2,4,fanduel,bovada 42.5 (-105),fanduel 42.5 (-105),no_clear_reaction_edge
BAL @ DAL,DAL,BAL,49.43276268578928,47.287762685789275,-2.145,53.5,1.0,3.145,4,2,fanduel,williamhill_us 53.5 (-107),fanduel 52.5 (-104),possible_underreaction
LV @ NO,NO,LV,44.23552213474311,40.88802213474311,-3.3474999999999997,43.5,0.0,3.3474999999999997,4,4,fanduel,mybookieag 44.0 (-110),draftkings 43.5 (-102),possible_underreaction
LA @ DEN,DEN,LA,43.74978209895218,41.39978209895218,-2.3499999999999996,44.0,-1.0,1.3499999999999996,2,6,betmgm,draftkings 44.5 (-102),lowvig 43.5 (-102),no_clear_reaction_edge
PHI @ CHI,CHI,PHI,46.53229523123095,44.479795231230945,-2.0525,41.0,-3.0,-0.9474999999999998,7,6,betus,draftkings 41.5 (-105),bovada 41.0 (-105),no_clear_reaction_edge
