game,home_team,away_team,market,consensus_line,num_books,min_line,max_line,outlier_books
LAC @ BUF,BUF,LAC,total,50.0,11,50.0,50.5,2
LAC @ BUF,BUF,LAC,spread,-7.0,11,-7.5,-7.0,4
CAR @ CLE,CLE,CAR,total,42.5,11,41.5,42.5,4
CAR @ CLE,CLE,CAR,spread,2.5,11,2.0,2.5,5
CIN @ PIT,PIT,CIN,total,42.5,11,42.5,43.0,3
CIN @ PIT,PIT,CIN,spread,3.5,11,3.5,3.5,0
NYJ @ DET,DET,NYJ,total,48.0,11,48.0,48.5,3
NYJ @ DET,DET,NYJ,spread,-6.5,11,-7.0,-6.5,1
HOU @ IND,IND,HOU,total,42.5,11,42.5,43.0,1
HOU @ IND,IND,HOU,spread,1.5,11,1.0,2.0,3
NE @ JAX,JAX,NE,total,46.0,11,45.5,46.5,4
NE @ JAX,JAX,NE,spread,-3.0,11,-3.0,-2.5,4
KC @ MIA,MIA,KC,total,45.0,11,45.0,45.5,5
KC @ MIA,MIA,KC,spread,10.5,11,10.0,10.5,2
TEN @ NYG,NYG,TEN,total,38.0,11,37.5,38.5,4
TEN @ NYG,NYG,TEN,spread,-2.5,11,-2.5,-2.0,1
SEA @ WAS,WAS,SEA,total,40.0,11,40.0,40.5,3
SEA @ WAS,WAS,SEA,spread,8.0,11,7.5,9.0,6
ARI @ SF,SF,ARI,total,48.0,11,47.5,48.0,4
ARI @ SF,SF,ARI,spread,-8.5,11,-9.0,-8.0,6
MIN @ TB,TB,MIN,total,42.5,11,42.5,42.5,0
MIN @ TB,TB,MIN,spread,1.5,11,0.0,1.5,2
BAL @ DAL,DAL,BAL,total,53.5,11,52.5,53.5,2
BAL @ DAL,DAL,BAL,spread,3.5,11,3.0,3.5,2
LV @ NO,NO,LV,total,43.5,11,43.5,44.0,2
LV @ NO,NO,LV,spread,-3.0,11,-3.5,-3.0,2
LA @ DEN,DEN,LA,total,44.0,11,43.5,44.5,4
LA @ DEN,DEN,LA,spread,2.0,11,2.0,2.5,5
PHI @ CHI,CHI,PHI,total,41.0,11,41.0,41.5,5
PHI @ CHI,CHI,PHI,spread,5.0,11,4.5,5.5,6
PIT @ CLE,CLE,PIT,total,37.5,8,37.5,38.5,2
PIT @ CLE,CLE,PIT,spread,2.5,8,1.5,3.0,4
IND @ WAS,WAS,IND,total,46.0,8,45.5,46.5,4
IND @ WAS,WAS,IND,spread,4.5,8,4.0,4.5,2
ARI @ NYG,NYG,ARI,total,43.5,6,43.5,44.0,1
ARI @ NYG,NYG,ARI,spread,-2.5,6,-2.5,-1.5,1
TEN @ BAL,BAL,TEN,total,44.75,8,44.5,45.0,0
TEN @ BAL,BAL,TEN,spread,-10.5,8,-10.5,-10.0,1
NE @ BUF,BUF,NE,total,50.0,8,49.5,50.5,5
NE @ BUF,BUF,NE,spread,-5.5,8,-5.5,-5.5,0
NYJ @ CHI,CHI,NYJ,total,43.5,8,43.0,43.5,3
NYJ @ CHI,CHI,NYJ,spread,-3.0,8,-3.5,-3.0,2
JAX @ CIN,CIN,JAX,total,50.5,8,49.5,50.5,3
JAX @ CIN,CIN,JAX,spread,-2.5,7,-3.0,-2.5,2
DAL @ HOU,HOU,DAL,total,47.5,8,47.5,48.0,1
DAL @ HOU,HOU,DAL,spread,-3.0,8,-3.0,-2.5,2
LA @ PHI,PHI,LA,total,46.0,8,45.5,46.5,4
LA @ PHI,PHI,LA,spread,2.5,7,1.5,3.0,2
MIA @ MIN,MIN,MIA,total,42.5,8,42.0,43.5,3
MIA @ MIN,MIN,MIA,spread,-10.5,8,-10.5,-10.0,2
DEN @ SF,SF,DEN,total,46.0,8,45.5,46.5,3
DEN @ SF,SF,DEN,spread,-3.0,8,-3.0,-3.0,0
KC @ LV,LV,KC,total,45.5,8,45.5,46.0,1
KC @ LV,LV,KC,spread,5.5,8,5.5,6.0,1
LAC @ SEA,SEA,LAC,total,43.5,8,42.5,43.5,3
LAC @ SEA,SEA,LAC,spread,-6.5,8,-7.0,-6.5,2
DET @ CAR,CAR,DET,total,49.5,9,49.5,49.5,0
DET @ CAR,CAR,DET,spread,2.5,9,2.5,3.0,3
