game,commence_time,consensus_total,model_projection,claimed_edge,calibrated_projection,calibrated_edge,model_over_prob,model_under_prob,market_over_prob,prob_edge_over_pp,push_prob,best_over_price,best_over_book,best_under_price,best_under_book,ev_over_per_100,ev_under_per_100,best_side,best_ev_per_100,calibration_beta,calibration_sd,calibration_significant,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,consensus_spread_home,implied_home_total,implied_away_total,quoted_at,raw_error,calibrated_error,market_error,closing_error,over_outcome,raw_pick,raw_pick_result,over_units,under_units,raw_pick_units,best_ev_units,favorite_win,favorite_cover_margin,closing_over,favorite_ml,dog_ml,favorite_ml_units,dog_ml_units,closing_over_units,closing_under_units,favorite_ats_units,dog_ats_units
DET @ BUF,2026-09-18T00:15:00Z,54.5,47.23194433557597,-7.268055664424033,54.18728289779654,-0.3127171022034574,0.4903576079328733,0.5096423920671267,0.507527529249828,-1.7169921316954715,0.0,-107,lowvig,100,draftkings,-5.136425381210485,1.9284784134253383,under,1.9284784134253383,0.0430262392917761,12.93703107690231,False,2026_02_DET_BUF,2026,REG,2,2026-09-17,Thursday,20:15,DET,31.0,BUF,41.0,Home,10.0,72.0,0.0,2026091700,60194.0,,202609170buf,30635.0,401872932,7035.0,4,4,195.0,-238.0,5.5,-115.0,-105.0,54.5,-102.0,-118.0,0,outdoors,grass,67.0,4.0,00-0033106,00-0034857,Jared Goff,Josh Allen,Dan Campbell,Sean McDermott,Ron Torbert,BUF00,Highmark Stadium,-5.5,30.0,24.5,2026-09-17T21:21:09Z,-24.768055664424033,-17.812717102203457,-17.5,-17.5,win,under,loss,0.9345794392523364,-1.0,-1.0,-1.0,True,4.5,True,-238.0,195.0,0.42016806722689076,-1.0,0.847457627118644,-1.0,0.9523809523809523,-1.0
CAR @ ATL,2026-09-20T17:00:00Z,44.0,42.38216081972134,-1.6178391802786578,43.93039046429372,-0.0696095357062773,0.4977868167660402,0.5022131832339599,0.5,-0.2213183233959803,0.0308291146023015,-107,lowvig,-107,lowvig,-3.585143288835136,-2.755226989467521,under,-2.755226989467521,0.0430262392917761,12.93703107690231,False,2026_02_CAR_ATL,2026,REG,2,2026-09-20,Sunday,13:00,CAR,34.0,ATL,3.0,Home,-31.0,37.0,0.0,2026092000,60195.0,,202609200atl,30622.0,401872933,7036.0,7,7,-155.0,130.0,-2.5,-120.0,100.0,43.5,-110.0,-110.0,1,closed,fieldturf,,,00-0039150,00-0036212,Bryce Young,Tua Tagovailoa,Dave Canales,Raheem Morris,Alex Moore,ATL97,Mercedes-Benz Stadium,2.5,20.75,23.25,2026-09-17T21:21:09Z,5.382160819721342,6.930390464293723,7.0,6.5,loss,under,win,-1.0,0.9345794392523364,0.9345794392523364,0.9345794392523364,True,28.5,False,-155.0,130.0,0.6451612903225806,-1.0,-1.0,0.9090909090909091,0.8333333333333334,-1.0
CIN @ HOU,2026-09-20T17:00:00Z,46.0,49.49764717738287,3.497647177382873,46.15049060441228,0.1504906044122833,0.5047846436640945,0.4952153563359054,0.4891657638136511,1.5618879850443357,0.0308274758956311,-102,lowvig,-110,betus,-0.0318325474279813,-5.290602825149677,over,-0.0318325474279813,0.0430262392917761,12.93703107690231,False,2026_02_CIN_HOU,2026,REG,2,2026-09-20,Sunday,13:00,CIN,20.0,HOU,6.0,Home,-14.0,26.0,0.0,2026092003,60198.0,,202609200htx,30625.0,401872934,7039.0,7,7,124.0,-148.0,3.0,-118.0,-102.0,45.5,-110.0,-110.0,0,closed,astroturf,,,00-0036442,00-0039163,Joe Burrow,C.J. Stroud,Zac Taylor,DeMeco Ryans,Adrian Hill,HOU00,Reliant Stadium,-2.5,24.25,21.75,2026-09-17T21:21:09Z,23.497647177382873,20.150490604412283,20.0,19.5,loss,over,loss,-1.0,0.9090909090909091,-1.0,-1.0,False,-17.0,False,-148.0,124.0,-1.0,1.24,-1.0,0.9090909090909091,-1.0,0.847457627118644
CLE @ TB,2026-09-20T17:00:00Z,41.5,43.268502060334704,1.768502060334704,41.57609199283596,0.0760919928359626,0.5023464532113409,0.4976535467886592,0.5,0.2346453211340859,0.0,-102,fanduel,-107,lowvig,-0.515702403244267,-3.724968051165922,over,-0.515702403244267,0.0430262392917761,12.93703107690231,False,2026_02_CLE_TB,2026,REG,2,2026-09-20,Sunday,13:00,CLE,23.0,TB,19.0,Home,-4.0,42.0,0.0,2026092006,60201.0,,202609200tam,30628.0,401872935,7042.0,7,7,330.0,-425.0,8.5,-115.0,-105.0,41.5,-112.0,-108.0,0,outdoors,grass,86.0,4.0,00-0033537,00-0034855,Deshaun Watson,Baker Mayfield,Todd Monken,Todd Bowles,Brad Rogers,TAM00,Raymond James Stadium,-8.5,25.0,16.5,2026-09-17T21:21:10Z,1.2685020603347041,-0.4239080071640373,-0.5,-0.5,win,over,win,0.9803921568627451,-1.0,0.9803921568627451,0.9803921568627451,False,-12.5,True,-425.0,330.0,-1.0,3.3,0.9259259259259259,-1.0,-1.0,0.8695652173913043
GB @ NYJ,2026-09-20T17:00:00Z,44.5,37.49608988291435,-7.003910117085653,44.19864808732418,-0.3013519126758197,0.4907079802648109,0.5092920197351891,0.5,-0.9292019735189117,0.0,-107,lowvig,-106,williamhill_us,-5.068643070265555,-1.0243810703311709,under,-1.0243810703311709,0.0430262392917761,12.93703107690231,False,2026_02_GB_NYJ,2026,REG,2,2026-09-20,Sunday,13:00,GB,20.0,NYJ,17.0,Home,-3.0,37.0,1.0,2026092005,60200.0,,202609200nyj,30627.0,401872936,7041.0,7,7,-185.0,154.0,-3.5,-108.0,-112.0,44.5,-110.0,-110.0,0,outdoors,fieldturf,69.0,7.0,00-0036264,00-0030565,Jordan Love,Geno Smith,Matt LaFleur,Aaron Glenn,Scott Novak,NYC01,MetLife Stadium,3.5,20.5,24.0,2026-09-17T21:21:09Z,0.4960898829143474,7.19864808732418,7.5,7.5,loss,under,win,-1.0,0.9433962264150944,0.9433962264150944,0.9433962264150944,True,-0.5,False,-185.0,154.0,0.5405405405405406,-1.0,-1.0,0.9090909090909091,-1.0,0.8928571428571429
MIN @ CHI,2026-09-20T17:00:00Z,48.0,48.58698118066968,0.5869811806696816,48.02525559273926,0.0252555927392634,0.500802986401787,0.4991970135982131,0.5,0.0802986401786998,0.0308295019376431,-107,lowvig,-107,lowvig,-3.0196289550561706,-3.320738789276973,over,-3.0196289550561706,0.0430262392917761,12.93703107690231,False,2026_02_MIN_CHI,2026,REG,2,2026-09-20,Sunday,13:00,MIN,9.0,CHI,3.0,Home,-6.0,12.0,0.0,2026092002,60197.0,,202609200chi,30624.0,401872937,7038.0,7,7,180.0,-218.0,4.5,-108.0,-112.0,46.5,-105.0,-115.0,1,outdoors,grass,68.0,8.0,00-0032950,00-0039918,Carson Wentz,Caleb Williams,Kevin O'Connell,Ben Johnson,Land Clark,CHI98,Soldier Field,-4.5,26.25,21.75,2026-09-17T21:21:09Z,36.58698118066968,36.02525559273926,36.0,34.5,loss,over,loss,-1.0,0.9345794392523364,-1.0,-1.0,False,-10.5,False,-218.0,180.0,-1.0,1.8,-1.0,0.9523809523809523,-1.0,0.9259259259259259
NO @ BAL,2026-09-20T17:00:00Z,46.5,49.47515732240045,2.975157322400449,46.62800983088428,0.1280098308842809,0.5039474049509969,0.496052595049003,0.4891657638136511,1.4781641137345758,0.0,-102,lowvig,-108,betrivers,-0.1986511763712117,-4.463944657229046,over,-0.1986511763712117,0.0430262392917761,12.93703107690231,False,2026_02_NO_BAL,2026,REG,2,2026-09-20,Sunday,13:00,NO,24.0,BAL,17.0,Home,-7.0,41.0,0.0,2026092001,60196.0,,202609200rav,30623.0,401872938,7037.0,7,7,295.0,-375.0,8.5,-115.0,-105.0,45.5,-115.0,-105.0,0,outdoors,grass,79.0,10.0,00-0040743,00-0034796,Tyler Shough,Lamar Jackson,Kellen Moore,Jesse Minter,Clete Blakeman,BAL00,M&T Bank Stadium,-8.5,27.5,19.0,2026-09-17T21:21:09Z,8.475157322400449,5.628009830884281,5.5,4.5,loss,over,loss,-1.0,0.9259259259259259,-1.0,-1.0,False,-15.5,False,-375.0,295.0,-1.0,2.95,-1.0,0.8695652173913043,-1.0,0.8695652173913043
PHI @ TEN,2026-09-20T17:00:00Z,39.5,44.23126844598514,4.731268445985137,39.70356868831059,0.2035686883105896,0.5062772366398199,0.49372276336018,0.5,0.6277236639819939,0.0,-107,lowvig,-105,bovada,-2.056646743511459,-3.60650810586961,over,-2.056646743511459,0.0430262392917761,12.93703107690231,False,2026_02_PHI_TEN,2026,REG,2,2026-09-20,Sunday,13:00,PHI,24.0,TEN,20.0,Home,-4.0,44.0,0.0,2026092007,60202.0,,202609200oti,30629.0,401872939,7043.0,7,7,-325.0,260.0,-7.0,-115.0,-105.0,39.5,-108.0,-112.0,0,outdoors,grass,92.0,5.0,00-0036389,00-0040676,Jalen Hurts,Cam Ward,Nick Sirianni,Robert Saleh,Clay Martin,NAS00,Nissan Stadium,7.0,16.25,23.25,2026-09-17T21:21:10Z,0.23126844598513685,-4.29643131168941,-4.5,-4.5,win,over,win,0.9345794392523364,-1.0,0.9345794392523364,0.9345794392523364,True,-3.0,True,-325.0,260.0,0.3076923076923077,-1.0,0.8928571428571429,-1.0,-1.0,0.9523809523809523
PIT @ NE,2026-09-20T17:00:00Z,41.5,41.87000619385617,0.3700061938561703,41.5159199750363,0.0159199750362972,0.500490927903336,0.4995090720966639,0.5,0.0490927903336047,0.0,-107,lowvig,-107,williamhill_us,-3.1760541345882576,-3.366001940178087,over,-3.1760541345882576,0.0430262392917761,12.93703107690231,False,2026_02_PIT_NE,2026,REG,2,2026-09-20,Sunday,13:00,PIT,3.0,NE,20.0,Home,17.0,23.0,0.0,2026092004,60199.0,,202609200nwe,30626.0,401872946,7040.0,7,11,185.0,-225.0,4.5,-102.0,-118.0,41.5,-115.0,-105.0,0,outdoors,fieldturf,63.0,7.0,00-0023459,00-0039851,Aaron Rodgers,Drake Maye,Mike McCarthy,Mike Vrabel,Carl Cheffers,BOS00,Gillette Stadium,-5.0,23.25,18.25,2026-09-17T21:21:09Z,18.87000619385617,18.515919975036297,18.5,18.5,loss,over,loss,-1.0,0.9345794392523364,-1.0,-1.0,True,12.5,False,-225.0,185.0,0.4444444444444444,-1.0,-1.0,0.8695652173913043,0.847457627118644,-1.0
JAX @ DEN,2026-09-20T20:05:00Z,45.5,49.3468698893592,3.8468698893591977,45.665516344383896,0.1655163443838958,0.5051039273319629,0.4948960726680371,0.5,0.5103927331962854,0.0,-105,fanduel,-107,lowvig,-1.3844713304263068,-4.258423324968518,over,-1.3844713304263068,0.0430262392917761,12.93703107690231,False,2026_02_JAX_DEN,2026,REG,2,2026-09-20,Sunday,16:05,JAX,13.0,DEN,20.0,Home,7.0,33.0,0.0,2026092008,60203.0,,202609200den,30630.0,401872940,7044.0,7,6,124.0,-148.0,2.5,-105.0,-115.0,45.5,-110.0,-110.0,0,outdoors,grass,73.0,12.0,00-0036971,00-0039732,Trevor Lawrence,Bo Nix,Liam Coen,Sean Payton,John Hussey,DEN00,Empower Field at Mile High,-2.5,24.0,21.5,2026-09-17T21:21:10Z,16.346869889359198,12.665516344383896,12.5,12.5,loss,over,loss,-1.0,0.9345794392523364,-1.0,-1.0,True,4.5,False,-148.0,124.0,0.6756756756756757,-1.0,-1.0,0.9090909090909091,0.8695652173913043,-1.0
