game,home_team,away_team,commence_time,consensus_total,consensus_spread_home,implied_home_total,implied_away_total,num_books,books_at_line,fair_over_prob,fair_under_prob,hold_pct,best_over_price,best_over_book,best_under_price,best_under_book,quoted_at
DET @ BUF,BUF,DET,2026-09-18T00:15:00Z,54.5,-5.5,30.0,24.5,10,7,0.507527529249828,0.492472470750172,4.727338716994822,-107,lowvig,100,draftkings,2026-09-17T21:21:09Z
CAR @ ATL,ATL,CAR,2026-09-20T17:00:00Z,44.0,2.5,20.75,23.25,10,6,0.5,0.5,4.761904761904767,-107,lowvig,-107,lowvig,2026-09-17T21:21:09Z
CIN @ HOU,HOU,CIN,2026-09-20T17:00:00Z,46.0,-2.5,24.25,21.75,10,5,0.4891657638136511,0.5108342361863489,4.707884288145214,-102,lowvig,-110,betus,2026-09-17T21:21:09Z
CLE @ TB,TB,CLE,2026-09-20T17:00:00Z,41.5,-8.5,25.0,16.5,10,10,0.5,0.5,4.761904761904767,-102,fanduel,-107,lowvig,2026-09-17T21:21:10Z
GB @ NYJ,NYJ,GB,2026-09-20T17:00:00Z,44.5,3.5,20.5,24.0,10,9,0.5,0.5,4.761904761904767,-107,lowvig,-106,williamhill_us,2026-09-17T21:21:09Z
MIN @ CHI,CHI,MIN,2026-09-20T17:00:00Z,48.0,-4.5,26.25,21.75,10,7,0.5,0.5,4.761904761904767,-107,lowvig,-107,lowvig,2026-09-17T21:21:09Z
NO @ BAL,BAL,NO,2026-09-20T17:00:00Z,46.5,-8.5,27.5,19.0,10,8,0.4891657638136511,0.5108342361863489,4.7305749452337125,-102,lowvig,-108,betrivers,2026-09-17T21:21:09Z
PHI @ TEN,TEN,PHI,2026-09-20T17:00:00Z,39.5,7.0,16.25,23.25,10,10,0.5,0.5,4.761904761904767,-107,lowvig,-105,bovada,2026-09-17T21:21:10Z
PIT @ NE,NE,PIT,2026-09-20T17:00:00Z,41.5,-5.0,23.25,18.25,10,10,0.5,0.5,4.761904761904767,-107,lowvig,-107,williamhill_us,2026-09-17T21:21:09Z
JAX @ DEN,DEN,JAX,2026-09-20T20:05:00Z,45.5,-2.5,24.0,21.5,10,9,0.5,0.5,4.75326560232221,-105,fanduel,-107,lowvig,2026-09-17T21:21:10Z
LV @ LAC,LAC,LV,2026-09-20T20:05:00Z,43.5,-6.5,25.0,18.5,10,9,0.4891657638136511,0.5108342361863489,4.707884288145214,-102,lowvig,-107,williamhill_us,2026-09-17T21:21:10Z
MIA @ SF,SF,MIA,2026-09-20T20:25:00Z,45.0,-13.0,29.0,16.0,10,6,0.49890254609306406,0.5010974539069359,4.620973358472247,-102,lowvig,-109,williamhill_us,2026-09-17T21:21:10Z
SEA @ ARI,ARI,SEA,2026-09-20T20:25:00Z,41.0,4.0,18.5,22.5,10,8,0.5021648770349845,0.49783512296501553,4.7575851821134885,-110,betus,-104,lowvig,2026-09-17T21:21:09Z
WAS @ DAL,DAL,WAS,2026-09-20T20:25:00Z,50.5,-4.0,27.25,23.25,10,10,0.5,0.5,4.7575851821134885,-104,lowvig,-108,williamhill_us,2026-09-17T21:21:10Z
IND @ KC,KC,IND,2026-09-21T00:20:00Z,46.5,-6.5,26.5,20.0,10,9,0.4891657638136511,0.5108342361863489,4.707884288145214,-102,lowvig,-110,draftkings,2026-09-17T21:21:10Z
NYG @ LA,LA,NYG,2026-09-22T00:15:00Z,48.0,-7.0,27.5,20.5,10,8,0.5,0.5,4.761904761904767,-107,lowvig,-107,lowvig,2026-09-17T21:21:09Z
