game,home_team,away_team,baseline_total_model,injury_adjusted_total_model,model_injury_impact_points,market_consensus_total,market_total_move,reaction_residual,home_injury_rows,away_injury_rows,largest_downward_move_book,best_over,best_under,signal_status
ATL @ GB,GB,ATL,39.047972615988144,39.047972615988144,0.0,44.5,0.0,0.0,0,0,betmgm,draftkings 44.5 (-102),lowvig 44.5 (-104),no_clear_reaction_edge
LAC @ BUF,BUF,LAC,44.07084670906535,44.07084670906535,0.0,50.5,0.0,0.0,0,0,betmgm,lowvig 50.5 (-102),betmgm 50.0 (-108),no_clear_reaction_edge
CAR @ CLE,CLE,CAR,43.12150138078274,43.12150138078274,0.0,42.0,0.0,0.0,0,0,betmgm,williamhill_us 42.5 (-107),lowvig 42.0 (-102),no_clear_reaction_edge
NYJ @ DET,DET,NYJ,41.5543126885306,41.5543126885306,0.0,48.0,0.0,0.0,0,0,betmgm,draftkings 48.5 (-105),lowvig 48.0 (-102),no_clear_reaction_edge
HOU @ IND,IND,HOU,43.02241544620466,43.02241544620466,0.0,43.5,0.0,0.0,0,0,betmgm,fanatics 43.5 (-105),williamhill_us 43.5 (-106),no_clear_reaction_edge
NE @ JAX,JAX,NE,46.02691956193431,46.02691956193431,0.0,45.5,0.0,0.0,0,0,betmgm,fanduel 45.5 (-105),bovada 45.0 (-105),no_clear_reaction_edge
KC @ MIA,MIA,KC,39.66753255820435,39.66753255820435,0.0,46.0,0.0,0.0,0,0,betmgm,lowvig 46.0 (-107),draftkings 45.5 (-105),no_clear_reaction_edge
TEN @ NYG,NYG,TEN,43.49172409078378,43.49172409078378,0.0,40.5,0.0,0.0,0,0,draftkings,fanduel 40.5 (-105),draftkings 40.5 (-112),no_clear_reaction_edge
CIN @ PIT,PIT,CIN,42.99282077216804,42.99282077216804,0.0,42.5,0.0,0.0,0,0,betmgm,bovada 42.5 (-105),lowvig 42.0 (-105),no_clear_reaction_edge
SEA @ WAS,WAS,SEA,47.26504837647782,47.26504837647782,0.0,40.0,0.0,0.0,0,0,betmgm,draftkings 40.5 (-102),lowvig 40.0 (-102),no_clear_reaction_edge
ARI @ SF,SF,ARI,42.70658883244252,42.70658883244252,0.0,48.0,0.0,0.0,0,0,betmgm,betrivers 48.0 (-107),williamhill_us 47.5 (-103),no_clear_reaction_edge
MIN @ TB,TB,MIN,46.06189000616317,46.06189000616317,0.0,43.0,0.0,0.0,0,0,betmgm,lowvig 43.0 (-105),bovada 42.5 (+100),no_clear_reaction_edge
BAL @ DAL,DAL,BAL,49.43276268578927,49.43276268578927,0.0,52.5,0.0,0.0,0,0,betmgm,williamhill_us 52.5 (-106),bovada 52.5 (-105),no_clear_reaction_edge
LV @ NO,NO,LV,44.23552213474309,44.23552213474309,0.0,43.5,0.0,0.0,0,0,betmgm,fanduel 44.5 (-104),betmgm 43.5 (-105),no_clear_reaction_edge
LA @ DEN,DEN,LA,43.74978209895218,43.74978209895218,0.0,45.5,0.0,0.0,0,0,betmgm,fanduel 45.5 (-110),draftkings 45.5 (-105),no_clear_reaction_edge
PHI @ CHI,CHI,PHI,46.53229523123095,46.53229523123095,0.0,44.25,0.0,0.0,0,0,betmgm,betmgm 44.5 (-105),lowvig 44.0 (-104),no_clear_reaction_edge
