game,commence_time,home_team,away_team,book,total_over_line,total_over_price,total_under_price,spread_home_line,spread_home_price,spread_away_price,totals_last_update,spreads_last_update
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,draftkings,44.5,-102,-118,-6.0,-112.0,-108.0,2026-09-22T09:46:37Z,2026-09-22T09:46:37Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,williamhill_us,44.5,-110,-109,-6.5,-108.0,-112.0,2026-09-22T09:45:36Z,2026-09-22T09:45:36Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,betus,44.5,-113,-107,-6.5,-110.0,-110.0,2026-09-22T09:46:17Z,2026-09-22T09:46:17Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,fanduel,44.5,-110,-110,-6.5,-102.0,-120.0,2026-09-22T09:46:37Z,2026-09-22T09:46:37Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,betrivers,44.0,-114,-107,-6.5,-109.0,-112.0,2026-09-22T09:46:37Z,2026-09-22T09:46:37Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,betonlineag,44.5,-113,-107,-6.5,-104.0,-116.0,2026-09-22T09:45:37Z,2026-09-22T09:45:37Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,lowvig,44.5,-110,-104,-6.5,101.0,-112.0,2026-09-22T09:45:41Z,2026-09-22T09:45:41Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,mybookieag,44.5,-110,-110,-6.5,-110.0,-110.0,2026-09-22T09:45:38Z,2026-09-22T09:45:38Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,fanatics,44.5,-110,-110,-6.0,-110.0,-110.0,2026-09-22T09:46:36Z,2026-09-22T09:46:36Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,betmgm,44.5,-108,-110,-6.5,-110.0,-108.0,2026-09-22T09:45:37Z,2026-09-22T09:45:37Z
ATL @ GB,2026-09-25T00:15:00Z,GB,ATL,bovada,44.5,-110,-110,-6.0,-115.0,-105.0,2026-09-22T09:39:15Z,2026-09-22T09:39:15Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,draftkings,50.5,-105,-115,-7.0,-112.0,-108.0,2026-09-22T09:46:37Z,2026-09-22T09:46:37Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,williamhill_us,50.5,-105,-115,-7.0,-113.0,-107.0,2026-09-22T09:45:36Z,2026-09-22T09:45:36Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,fanduel,50.5,-105,-115,-7.0,-115.0,-105.0,2026-09-22T09:46:37Z,2026-09-22T09:46:37Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,betrivers,50.5,-107,-114,-7.0,-115.0,-107.0,2026-09-22T09:46:37Z,2026-09-22T09:46:37Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,betus,50.5,-105,-115,-7.0,-110.0,-110.0,2026-09-22T09:46:17Z,2026-09-22T09:46:17Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,lowvig,50.5,-102,-113,-7.0,-105.0,-105.0,2026-09-22T09:45:41Z,2026-09-22T09:45:41Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,betonlineag,50.5,-105,-115,-7.0,-110.0,-110.0,2026-09-22T09:45:38Z,2026-09-22T09:45:38Z
LAC @ BUF,2026-09-27T17:00:00Z,BUF,LAC,mybookieag,50.0,-110,-110,-7.0,-110.0,-110.0,2026-09-22T09:45:38Z,2026-09-22T09:45:38Z
